date,beijing,shanghai,guangzhou
01/01/2014,86,168,122
02/01/2014,117,166,146
03/01/2014,80,182,179
04/01/2014,153,144,169
05/01/2014,119,64,153
06/01/2014,184,44,205
07/01/2014,143,63,133
08/01/2014,29,53,122
09/01/2014,43,52,66
10/01/2014,87,68,91
11/01/2014,143,61,133
12/01/2014,42,108,121
13/01/2014,110,72,60
14/01/2014,109,30,64
15/01/2014,148,43,91
16/01/2014,381,103,130
17/01/2014,211,126,145
18/01/2014,104,207,94
19/01/2014,177,158,135
20/01/2014,37,234,137
21/01/2014,51,72,101
22/01/2014,153,67,69
23/01/2014,169,54,79
24/01/2014,185,43,89
25/01/2014,40,133,97
26/01/2014,77,52,103
27/01/2014,128,34,123
28/01/2014,61,69,110
29/01/2014,155,79,134
30/01/2014,93,237,111
31/01/2014,184,180,158
01/02/2014,179,89,71
02/02/2014,105,230,66
03/02/2014,40,72,68
04/02/2014,50,39,73
05/02/2014,116,31,50
06/02/2014,158,25,41
07/02/2014,124,27,45
08/02/2014,102,58,32
09/02/2014,29,63,13
10/02/2014,35,38,41
11/02/2014,133,49,60
12/02/2014,150,36,71
13/02/2014,241,39,47
14/02/2014,311,58,65
15/02/2014,424,41,68
16/02/2014,339,31,89
17/02/2014,137,39,147
18/02/2014,95,36,59
19/02/2014,89,79,23
20/02/2014,208,197,38
21/02/2014,308,134,86
22/02/2014,313,77,94
23/02/2014,262,113,88
24/02/2014,309,111,76
25/02/2014,402,47,66
26/02/2014,330,70,84
27/02/2014,31,127,63
28/02/2014,106,108,62
01/03/2014,57,41,63
02/03/2014,175,72,41
03/03/2014,267,59,64
04/03/2014,88,37,70
05/03/2014,38,55,39
05/03/2014,38,55,39
06/03/2014,36,44,85
07/03/2014,63,40,35
08/03/2014,191,47,50
09/03/2014,126,107,29
10/03/2014,108,201,49
11/03/2014,207,78,62
12/03/2014,36,40,167
13/03/2014,58,58,67
14/03/2014,62,106,75
15/03/2014,128,113,87
16/03/2014,151,94,121
17/03/2014,181,106,161
18/03/2014,86,181,101
19/03/2014,75,121,90
20/03/2014,37,88,103
21/03/2014,54,59,68
22/03/2014,82,65,74
23/03/2014,166,54,112
25/03/2014,241,84,84
26/03/2014,322,112,90
27/03/2014,294,58,68
28/03/2014,169,55,53
29/03/2014,72,90,61
30/03/2014,63,129,54
31/03/2014,172,81,42
01/04/2014,140,67,57
02/04/2014,131,63,52
03/04/2014,63,68,49
04/04/2014,91,74,81
05/04/2014,64,87,96
06/04/2014,97,50,87
07/04/2014,133,58,76
08/04/2014,224,87,85
09/04/2014,194,90,106
10/04/2014,271,85,67
11/04/2014,88,69,62
12/04/2014,131,79,62
13/04/2014,197,66,76
14/04/2014,284,83,77
15/04/2014,132,79,58
16/04/2014,83,63,65
17/04/2014,121,182,64
18/04/2014,181,98,60
19/04/2014,83,46,55
20/04/2014,82,53,81
21/04/2014,68,64,53
22/04/2014,80,74,57
23/04/2014,149,102,58
24/04/2014,152,78,74
25/04/2014,175,55,65
26/04/2014,65,41,50
27/04/2014,74,85,52
28/04/2014,84,76,58
29/04/2014,118,102,79
30/04/2014,139,84,54
01/05/2014,166,122,42
02/05/2014,48,118,50
03/05/2014,94,68,78
04/05/2014,55,71,64
05/05/2014,50,63,32
06/05/2014,99,69,45
07/05/2014,95,69,50
08/05/2014,102,103,57
09/05/2014,88,67,39
10/05/2014,72,57,36
11/05/2014,45,57,35
12/05/2014,60,116,65
13/05/2014,89,84,75
14/05/2014,55,102,40
15/05/2014,116,86,52
16/05/2014,92,86,54
17/05/2014,98,88,34
18/05/2014,112,57,42
19/05/2014,140,61,45
20/05/2014,121,92,56
21/05/2014,142,125,45
22/05/2014,191,114,36
23/05/2014,127,50,45
24/05/2014,101,45,44
25/05/2014,121,114,38
26/05/2014,65,165,47
27/05/2014,105,189,88
28/05/2014,80,151,63
29/05/2014,97,126,55
30/05/2014,140,133,47
31/05/2014,157,73,46
01/06/2014,88,47,38
02/06/2014,62,64,35
03/06/2014,75,61,39
04/06/2014,98,81,71
05/06/2014,111,57,36
06/06/2014,88,70,37
07/06/2014,37,83,71
08/06/2014,56,57,79
09/06/2014,58,48,83
10/06/2014,90,42,56
11/06/2014,69,44,67
12/06/2014,63,74,71
13/06/2014,100,121,106
14/06/2014,83,139,99
15/06/2014,149,74,92
16/06/2014,167,39,109
17/06/2014,120,56,38
18/06/2014,87,50,48
19/06/2014,158,58,39
20/06/2014,71,52,37
21/06/2014,100,47,36
22/06/2014,59,41,38
23/06/2014,64,51,35
24/06/2014,97,78,36
25/06/2014,134,43,43
26/06/2014,173,40,49
27/06/2014,47,36,58
28/06/2014,50,120,64
29/06/2014,84,130,51
30/06/2014,121,88,32
01/07/2014,124,60,37
02/07/2014,84,68,40
03/07/2014,238,112,45
04/07/2014,237,69,49
05/07/2014,167,52,52
06/07/2014,253,74,54
07/07/2014,210,68,72
08/07/2014,150,41,101
09/07/2014,59,45,103
10/07/2014,78,127,61
11/07/2014,60,169,34
12/07/2014,49,113,44
13/07/2014,49,59,37
14/07/2014,91,107,39
15/07/2014,111,57,43
16/07/2014,117,94,38
17/07/2014,173,46,50
18/07/2014,185,37,29
19/07/2014,116,43,34
20/07/2014,97,45,45
21/07/2014,51,38,70
22/07/2014,39,38,111
23/07/2014,63,41,101
24/07/2014,86,48,98
25/07/2014,109,61,72
26/07/2014,155,133,41
27/07/2014,160,74,34
28/07/2014,168,69,54
29/07/2014,164,74,85
30/07/2014,160,38,101
31/07/2014,244,33,98
01/08/2014,196,26,87
02/08/2014,164,34,107
03/08/2014,151,86,113
04/08/2014,50,115,73
05/08/2014,48,69,63
06/08/2014,59,55,53
07/08/2014,114,37,56
08/08/2014,96,41,61
09/08/2014,133,43,43
10/08/2014,78,72,45
11/08/2014,51,63,47
12/08/2014,70,56,44
13/08/2014,45,75,31
14/08/2014,61,45,40
15/08/2014,73,52,52
16/08/2014,97,58,50
17/08/2014,96,40,56
18/08/2014,88,59,51
19/08/2014,129,37,37
20/08/2014,143,39,28
21/08/2014,178,85,49
22/08/2014,71,53,49
23/08/2014,142,71,57
24/08/2014,46,95,43
25/08/2014,45,82,60
26/08/2014,64,101,64
27/08/2014,90,54,41
28/08/2014,104,55,34
29/08/2014,98,59,53
30/08/2014,170,39,66
31/08/2014,87,40,45
01/09/2014,126,51,45
02/09/2014,36,77,70
03/09/2014,36,61,64
04/09/2014,70,137,49
05/09/2014,120,120,73
06/09/2014,183,69,69
07/09/2014,196,58,58
08/09/2014,46,62,29
09/09/2014,75,53,43
10/09/2014,97,66,64
11/09/2014,109,55,62
12/09/2014,98,47,38
13/09/2014,93,42,39
14/09/2014,69,43,42
15/09/2014,45,41,53
16/09/2014,71,53,24
17/09/2014,75,45,36
18/09/2014,88,43,64
19/09/2014,102,57,102
20/09/2014,159,89,39
21/09/2014,134,50,47
22/09/2014,124,46,55
23/09/2014,66,27,61
24/09/2014,49,42,67
25/09/2014,139,71,81
26/09/2014,162,85,99
27/09/2014,51,65,52
28/09/2014,84,46,65
29/09/2014,78,79,72
30/09/2014,48,47,93
01/10/2014,91,48,74
02/10/2014,75,79,80
03/10/2014,119,84,62
04/10/2014,101,56,69
05/10/2014,48,59,78
06/10/2014,47,66,72
07/10/2014,179,62,83
08/10/2014,309,51,91
09/10/2014,380,52,79
10/10/2014,351,65,67
11/10/2014,233,59,67
12/10/2014,25,65,67
13/10/2014,29,70,66
14/10/2014,72,70,125
15/10/2014,81,129,118
16/10/2014,73,141,118
17/10/2014,127,52,107
18/10/2014,194,42,109
19/10/2014,289,50,105
20/10/2014,254,86,85
21/10/2014,67,95,73
22/10/2014,100,68,51
23/10/2014,154,63,53
24/10/2014,263,58,89
25/10/2014,341,55,119
26/10/2014,85,77,118
27/10/2014,50,73,100
28/10/2014,84,54,87
29/10/2014,138,52,81
30/10/2014,203,63,68
31/10/2014,201,80,88
01/11/2014,85,93,107
02/11/2014,29,78,70
03/11/2014,51,60,62
04/11/2014,126,62,85
05/11/2014,125,55,100
06/11/2014,34,174,62
07/11/2014,61,68,52
08/11/2014,91,40,19
09/11/2014,79,50,39
10/11/2014,92,87,33
11/11/2014,70,77,36
12/11/2014,42,176,25
13/11/2014,44,63,69
14/11/2014,54,71,69
15/11/2014,124,62,72
